artist,spotify_url,day,genre,note,songs,song_count,original_songs,review_status,review_notes,sources,related_artists,spotify_image_url,spotify_image_source,spotify_image_note,spotify_top5_tracks,spotify_top5_source,spotify_top5_note
Sexyy Red,https://open.spotify.com/artist/3DbwFQlvLxRSi2uX8mf81A,Friday,Rap / Hip-Hop,"Unfiltered, raucous, hilarious. SkeeYee is unavoidable.",SkeeYee|Pound Town|Pound Town 2|Bow Bow Bow (F My Baby Dad)|Hellcats SRTs|Hood Rats|Shake Yo Dreads|I Don't Wanna Be Saved|Looking For The Hoes (Ain't My Fault)|Get It Sexyy|Sexyy Love Money|U My Everything|Fake Jammin|Mad at Me|Slut Me Out|Hoochie Coochie|Sexyy Walk,17,SkeeYee|Pound Town|Pound Town 2|Bow Bow Bow (F My Baby Dad)|Hellcats SRTs|Hood Rats|Shake Yo Dreads|I Don't Wanna Be Saved|Looking For The Hoes (Ain't My Fault)|Get It Sexyy|Sexyy Love Money|U My Everything|Fake Jammin|Mad at Me|Slut Me Out|Hoochie Coochie|Sexyy Walk,,,,Clipse; Little Simz; Wale; Big Boi; Joost,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174d341871daa2c688ea24dcf02,Spotify oEmbed thumbnail_url,,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne) | Rich Baby Daddy (feat. Sexyy Red & SZA) | WHATCHU KNO ABOUT ME (feat. Sexyy Red) | Get It Sexyy | Looking For The Hoes (Ain’t My Fault)",Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Central Cee,https://open.spotify.com/artist/5H4yInM5zmHqpKIoMNAx4r,Friday,UK Rap / Drill,Can't Rush Greatness Tour — UK rap's biggest export right now.,Limitless|5 Star|Day in the Life|6 For 6|Cold Shoulder|Ruby|Commitment Issues|Loading|St. Patrick's|Ten|Straight Back to It|GBP|Doja|Did It First (with Ice Spice)|Obsessed With You|BAND4BAND (with Lil Baby)|Sprinter (with Dave),17,Limitless|5 Star|Day in the Life|6 For 6|Cold Shoulder|Ruby|Commitment Issues|Loading|St. Patrick's|Ten|Straight Back to It|GBP|Doja|Did It First (with Ice Spice)|Obsessed With You|BAND4BAND (with Lil Baby)|Sprinter (with Dave),,,,Sexyy Red; Creepy Nuts; Joost; Swae Lee; Young Thug,https://image-cdn-ak.spotifycdn.com/image/ab67616100005174f6469f2cbf0a7e78744a3173,Spotify oEmbed thumbnail_url,,Sprinter | Which One (feat. Central Cee) | BAND4BAND (feat. Lil Baby) | Doja | ICEMAN FREESTYLE,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Foster the People,https://open.spotify.com/artist/7gP3bB2nilZXLfPHJhMdvc,Friday,Indie Pop,Pumped Up Kicks singalong guaranteed. Massive nostalgia hit.,Pumped Up Kicks|Helena Beat|Houdini|Sit Next to Me|Call It What You Want|Don't Stop|Best Friend|Coming of Age|Waste|I Would Do Anything for You|Pseudologia Fantastica,11,Pumped Up Kicks|Helena Beat|Houdini|Sit Next to Me|Call It What You Want|Don't Stop|Best Friend|Coming of Age|Waste|I Would Do Anything for You|Pseudologia Fantastica,,,,Dijon; Lykke Li; The Two Lips; flowerovlove; rusowsky,https://image-cdn-ak.spotifycdn.com/image/ab6761610000517422b8e662f0cfdddac8ab22bb,Spotify oEmbed thumbnail_url,,Pumped Up Kicks | Sit Next to Me | Imagination | Houdini | Helena Beat,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Levity,https://open.spotify.com/artist/1PbO7aQiVeKbGp8GYWDL9C,Friday,Electronic / DJ,,Counting|Flip It|Breezeblocks|Peso|Bassface|The Deep|Come a Little Closer|DNA,8,Flip It|Front to Back|Moment|Can't Get Enough|Rising Tides|Postman|ONE FOR YOU,reviewed - corrected,Replaced likely hallucinated list with songs/covers shown on Levity Visionquest average setlist. DJ set variance is high; treat as medium-confidence.,https://www.setlist.fm/stats/average-setlist/levity-1be51dd8.html?tour=33daac39,Marlon Hoffstadt; Prospa; Max Styler; Max Dean x Luke Dean; Arodes,https://image-cdn-ak.spotifycdn.com/image/ab676161000051746342b598b7ee99bbba1256b6,Spotify oEmbed thumbnail_url,,Pop Off | ONE FOR YOU | Flip It | Postman | Heartbreak,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Blood Orange,https://open.spotify.com/artist/6LEeAFiJF8OuPx747e1wxR,Friday,Alt R&B / Neo-Soul,"Dev Hynes — silky, melancholic, deeply cinematic. Perfect sunset slot.",Thinking Clean|Look At You|Saint|Jesus Freak Lighter|Vivid Light|Wish|Mind Loaded|Somewhere in Between|Countryside|Dagenham Dream|Best to You|Sutphin Boulevard|You're Not Good Enough|Charcoal Baby|Champagne Coast,15,Thinking Clean|Look At You|Saint|Jesus Freak Lighter|Vivid Light|Wish|Mind Loaded|Somewhere in Between|Countryside|Dagenham Dream|Best to You|Sutphin Boulevard|You're Not Good Enough|Charcoal Baby|Champagne Coast,,,,Dijon; Teddy Swims; Youna; Justin Bieber; GIVĒON,https://image-cdn-ak.spotifycdn.com/image/ab6761610000517482a833d61eafc09c05c24882,Spotify oEmbed thumbnail_url,,"Champagne Coast | Charcoal Baby | Mind Loaded (feat. Caroline Polachek, Lorde & Mustafa) | Best to You | Chewing Gum",Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Moby,https://open.spotify.com/artist/3OsRAKCvk37zwYcnzRf5XF,Friday,Electronic / Ambient,Play-era nostalgia — 90s electronic classics get emotional.,Porcelain|Why Does My Heart Feel So Bad?|Natural Blues|Bodyrock|South Side|Flower|James Bond Theme (Re-Version)|Run On|Honey|We Are All Made of Stars,10,Porcelain|Why Does My Heart Feel So Bad?|Natural Blues|Bodyrock|South Side|Flower|James Bond Theme (Re-Version)|Run On|Honey|We Are All Made of Stars,,,,Mild Minds; Nine Inch Noize; Disclosure; fakemink; Groove Armada,https://image-cdn-fa.spotifycdn.com/image/ab6761610000517451998989b51d8bda6a7486f2,Spotify oEmbed thumbnail_url,,Porcelain | When It's Cold I'd Like to Die | Natural Blues | Extreme Ways | Flower,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Marlon Hoffstadt,https://open.spotify.com/artist/0HHa7ZJZxUQlg5l2mB0N0f,Friday,Disco / Electronic / DJ,German DJ and producer — disco-inflected electronic sets.,Need U|Hold You Close|Remedy|Don't Change|Fahrenheit|Reparation|Golden Boy|Hot Summer Anthem|Kill For Love|Run Away,10,Need U|Hold You Close|Remedy|Don't Change|Fahrenheit|Reparation|Golden Boy|Hot Summer Anthem|Kill For Love|Run Away,,,,Zerb; Disclosure; Groove Armada; Mahmut Orhan; Levity,https://image-cdn-ak.spotifycdn.com/image/ab67616100005174f2733462997b641fc6fe8704,Spotify oEmbed thumbnail_url,,Makina Time | It's That Time - FISHER Remix | Losing Control | It's That Time | Stomp Your Feet,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Lykke Li,https://open.spotify.com/artist/6oBm8HB0yfrIc9IHbxs6in,Friday,Indie Pop,Emotional comeback set — aching pop perfection.,I Follow Rivers|Get Some|Possibility|Sadness Is a Blessing|Dance Dance Dance|Love Me Like I'm Not Made of Stone|I Never Learn|No Rest for the Wicked|Rich and Sad|sex money feelings die,10,I Follow Rivers|Get Some|Possibility|Sadness Is a Blessing|Dance Dance Dance|Love Me Like I'm Not Made of Stone|I Never Learn|No Rest for the Wicked|Rich and Sad|sex money feelings die,,,,Dijon; Foster the People; The Two Lips; flowerovlove; rusowsky,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174cca02aff2b0e609b77ca0130,Spotify oEmbed thumbnail_url,,I Follow Rivers - The Magician Remix | Lucky Again | Possibility | Little Bit | I Follow Rivers,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
fakemink,https://open.spotify.com/artist/0qc4BFxcwRFZfevTck4fOi,Friday,Electronic / Pop,Emerging electronic pop artist.,Easter Pink|Fever|MAKKA|Braces|Face to Face|Truffle|Ragebait|Under Your Skin|Rella|On Sight|Young Millionaire|Blow Me,12,Kill Everything|London Life|Just Kitten|Celebrity Deathmatch|Blow Me|Easter Pink|Music and Me|Truffle|Ragebait|Face to Face|Bite My Lip|LV Sandals|Fidelio|Shampoodle,reviewed - corrected,Adjusted to recent Camp Flog Gnaw 2025 setlist; removed several titles that did not match the recent live set shown in source.,https://www.setlist.fm/setlist/fakemink/2025/dodger-stadium-los-angeles-ca-3b4f485c.html,Jessica Brankka; WHATMORE; COBRAH; RØZ; LE YORA,https://image-cdn-fa.spotifycdn.com/image/ab6761610000517448f0308e3a796ac7dd4b2284,Spotify oEmbed thumbnail_url,,LV Sandals | Fever | Easter Pink | Blow Me | Music and Me,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Gordo,https://open.spotify.com/artist/4Ge9GwmWnOQsohwPTrXyHc,Friday,Tech House / DJ,Afro house meets tech — beloved festival DJ.,Sideways|Healing|TARAKA|RIZZLA|El Mas Chingon|Cafecito|NENE|Leaving Earth|R U 4REAL|Fallin Luv,10,Sideways|Healing|TARAKA|RIZZLA|El Mas Chingon|Cafecito|NENE|Leaving Earth|R U 4REAL|Fallin Luv,,,,Kettama; HUGEL; Joshwa; Marlon Hoffstadt; Chloé Caillet x Rossi,https://image-cdn-fa.spotifycdn.com/image/ab676161000051741d9da120103e6a8550163f17,Spotify oEmbed thumbnail_url,,Sideways | Loco Loco | Healing | Olvidarte (feat. Emilia) | Hombres y Mujeres,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Creepy Nuts,https://open.spotify.com/artist/0pWR7TsFhvSCnbmHDjWgrE,Friday,J-Hip-Hop,"Japanese hip-hop duo — huge in Japan, making their global festival push.",Chuugaku 22nen-sei|doppelgänger|Billiken|Yofukashi no Uta|Daten|2way nice guy|Gouhouteki Tobikata no Susume|japanese|Miminashi Houichi Style|LEGION|DJ Matsunaga Routine|Chudai,12,Bling-Bang-Bang-Born|Yofukashi no Uta|Daten|2way nice guy|Kaoyaku|Billiken|Nobishiro|Nidone|Otonoke|Chuugaku 22nen-sei|doppelgänger|LEGION,reviewed - corrected,Original row had some right songs but also likely non-set staples/missing tracks. Replaced with ONE MAN TOUR [LEGION] average setlist.,https://www.setlist.fm/stats/average-setlist/creepy-nuts-53d8cf41.html?tour=43dd73db,Sexyy Red; Central Cee; Joost; Swae Lee; Young Thug,https://image-cdn-fa.spotifycdn.com/image/ab6761610000517471c03bb9c1fe71f40a5fe1dc,Spotify oEmbed thumbnail_url,,Bling-Bang-Bang-Born | オトノケ - Otonoke | Mirage | 堕天 - Daten | よふかしのうた - Yofukashino Uta,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Joyce Manor,https://open.spotify.com/artist/7qbvNcfTfckhCNM8NiR8nN,Friday,Pop Punk / Indie,"Short, fast, brilliant. Emotionally charged pop-punk.",Constant Headache|Catalina Fight Song|Falling in Love Again|Do You Really Want to Not Get Better?|Ashtray Petting Zoo|Violent Inside|Fake ID|Comfortable Liar|Certain Something|Heart Tattoo,10,Constant Headache|Catalina Fight Song|Falling in Love Again|Do You Really Want to Not Get Better?|Ashtray Petting Zoo|Violent Inside|Fake ID|Comfortable Liar|Certain Something|Heart Tattoo,,,,The xx; Ethel Cain; CMAT; Hot Mulligan; SOMBR,https://image-cdn-ak.spotifycdn.com/image/ab676161000051745e3e73393eb63ed14ecefb2d,Spotify oEmbed thumbnail_url,,Constant Headache | I Know Where Mark Chen Lives | I Used To Go To This Bar | Catalina Fight Song | All My Friends Are So Depressed,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
BINI,https://open.spotify.com/artist/7tNO3vJC9zlHy2IJOx34ga,Friday,P-Pop / K-Pop,First Filipino group at Coachella. History-making debut.,"Salamin, Salamin|No Fear|I Feel Good|Lagi|Diyan Ka Lang|Strings|Born To Win|Karera|Cherry On Top|Out Of My Head|Secrets|Blink Twice|Zero Pressure|Shagidi|Na Na Nandito Lang|Here With You|Huwag Muna Tayong Umuwi|Na Na Na|Pantropiko",19,Na Na Na|Pantropiko|Kapit Lang|Cherry On Top|Golden Arrow|Salamin Salamin|Lagi|Born to Win,reviewed - corrected,Expanded to match Biniverse World Tour 2025 average setlist; original row had some real songs but missed most of the set.,https://www.setlist.fm/stats/average-setlist/bini-3f24567.html?tour=2bdc6076,KATSEYE; Taemin; BIGBANG; Fujii Kaze,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174ea710a0a204433d4d30c4473,Spotify oEmbed thumbnail_url,,"Bikini | Salamin, Salamin | Pantropiko | Karera | Katabi",Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Kettama,https://open.spotify.com/artist/3an9rnsXKPCAMlZgH4A0n4,Friday,Tech House / DJ,High-energy DJ set — crowd favorite in the tent.,Blessings (KETTAMA Remix)|Pretty Green Eyes (Sunset Ibiza Mix)|It Gets Better (Forever Mix)|Yosemite|Fly Away XTC|Back 2 Front|Philosophy Of House,7,Gold Mine (with Patrick Topping)|Disco Inferno|Funk Box|Back 2 Bass|Circus|Grill|Freak|Filthy,reviewed - corrected,Original row looked heavily hallucinated. Replaced with tracks visible on 2025 average setlist; exact DJ sets vary substantially.,https://www.setlist.fm/stats/average-setlist/kettama-bf2a1aa.html?year=2025; https://www.setlist.fm/setlist/kettama/2026/brisbane-showgrounds-brisbane-australia-34d311b.html,Gordo; HUGEL; Joshwa; Marlon Hoffstadt; Chloé Caillet x Rossi,https://image-cdn-fa.spotifycdn.com/image/ab676161000051743a3bd9f5a64b22b563bef87b,Spotify oEmbed thumbnail_url,,It Gets Better - Forever Mix | Yosemite | Pretty Green Eyes (Sunset Ibiza Mix) | solo - KETTAMA remix | If U Want My Heart,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Groove Armada,https://open.spotify.com/artist/67tgMwUfnmqzYsNAtnP6YJ,Friday,Electronic / Nu-Disco,90s rave veterans returning — At the River at golden hour is a dream.,Superstylin'|At the River|I See You Baby|Ladyboy|Get Down|Lovebox|My Friend|Hands of Time|If Everybody Looked the Same|Edge Hill,10,Superstylin'|At the River|I See You Baby|Ladyboy|Get Down|Lovebox|My Friend|Hands of Time|If Everybody Looked the Same|Edge Hill,,,,Disclosure; Mahmut Orhan; Marlon Hoffstadt; Zerb; Nine Inch Noize,https://image-cdn-ak.spotifycdn.com/image/ab67616100005174922cfaf258406578ccb12bcc,Spotify oEmbed thumbnail_url,,Superstylin' | My Friend | Paper Romance - Purple Disco Machine Remix - Edit | At the River | Hands of Time,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Joost,https://open.spotify.com/artist/6s5ubAp65wXoTZefE01RNR,Friday,Hip-Hop / Pop,"Dutch viral artist — huge in Europe, wild energy live.",Everyday|Luchtballon|Kunst und Musik|Gabberland|United By Music|Heroïne|Buurman uit Berlijn|Zonder Jou|Ome Robert|Europapa|Last Man Standing|Filthy dog|Normalje Bass|Friesenjung,14,Everyday|Luchtballon|Kunst und Musik|Gabberland|United By Music|Heroïne|Buurman uit Berlijn|Zonder Jou|Ome Robert|Europapa|Last Man Standing|Filthy dog|Normalje Bass|Friesenjung,,,,Coi Leray; Sabrina Carpenter; KATSEYE; Sexyy Red; fakemink,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174a317ca98cdf346619c07c3cd,Spotify oEmbed thumbnail_url,,Friesenjung | Europapa | Farmcore | Filthy Dog | TRAFIK!,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
HUGEL,https://open.spotify.com/artist/5PlfkPxwCpRRWQJBxCa0By,Friday,Tech House / DJ,High energy tech house — expect a crowd-pleasing set.,Morenita|I Adore You|WTF|I Believe I'm Fine|Alicante|Andalucia|Forever|Coming Home|Think Of Me|Eyes on You|Hanging Tree,11,Morenita|I Adore You|WTF|I Believe I'm Fine|Alicante|Andalucia|Forever|Coming Home|Think Of Me|Eyes on You|Hanging Tree,,,,Gordo; Kettama; Joshwa; Marlon Hoffstadt; Chloé Caillet x Rossi,https://image-cdn-ak.spotifycdn.com/image/ab67616100005174b02f6c6948dd082ff04b2a86,Spotify oEmbed thumbnail_url,,I Adore You (feat. Daecolm) | Jamaican (Bam Bam) | It Feels So Good | Forever (feat. Malou & Yuna) | Loosen Up,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
CMAT,https://open.spotify.com/artist/3VBNIRx1LxVdRqOiPgkLwv,Friday,Country Pop / Indie,"Irish country-pop icon — hilarious, emotional, brilliant songwriting.","Janis Joplining|The Jamie Oliver Petrol Station|I Don't Really Care for You|2 Wrecked 2 Care|When a Good Man Cries|Have Fun!|Take a Sexy Picture of Me|Tree Six Foive|Iceberg|Where Are Your Kids Tonight?|Running/Planning|EURO-COUNTRY|I Wanna Be a Cowboy, Baby!|Stay for Something|Coronation St.|Rent|Aw, Shoot!",17,"Janis Joplining|The Jamie Oliver Petrol Station|I Don't Really Care for You|When a Good Man Cries|Take a Sexy Picture of Me|2 Wrecked 2 Care|Have Fun!|Iceberg|Running/Planning|Rent|Stay for Something|EURO-COUNTRY|I Wanna Be a Cowboy, Baby!|Coronation St.",reviewed - corrected,Original row mixed real songs with omissions. Expanded/adjusted using several 2025 setlists and song-frequency pages.,https://www.setlist.fm/stats/cmat-4bf357b6.html?year=2025; https://www.setlist.fm/setlist/cmat/2025/depot-cardiff-wales-b4161c6.html; https://www.setlist.fm/setlist/cmat/2025/o2-academy-liverpool-liverpool-england-34669c3.html,The xx; Ethel Cain; Joyce Manor; SOMBR; Alex G,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174b68d7dc0f8b678bca480d8b0,Spotify oEmbed thumbnail_url,,Take A Sexy Picture Of Me | Stay For Something | EURO-COUNTRY | When A Good Man Cries | Running/Planning,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
